WNT age,SHH age,G3 age,G4 age,mean0,std0,median0,q1-0,q3-0,Asia follow,US follow,median1,q1-1,q3-1,TP53+ age,TP53- age,mean-2,std-2,median-2,q1-2,q3-2,Asia age,US age,mean-3,std3,median3,q1-3,q3-3,four-type age,VS age,TP age,followup-all,mean4,std4,median4,q1-4,q3-4,internal-age,external-age,all-age,mean(std),"median(Q1, Q3)"
9,9,,5,,,,,,53,24,,,,,12,,,,,,4,7,,,,,,12,4,9,53,,,,,,5,9,5,,
4,11,,4,,,,,,25,74,,,,,10,,,,,,6,16,,,,,,6,6,11,25,,,,,,12,11,12,,
8,6,,5,,,,,,52,76.8,,,,,9,,,,,,3,10,,,,,,11,3,6,52,,,,,,9,8,9,,
9,1,,6,,,,,,53,82.9,,,,,10,,,,,,4,5,,,,,,10,4,1,53,,,,,,6,7,6,,
8,50,,4,,,,,,14,81.8,,,,,4,,,,,,17,8,,,,,,7,17,50,14,,,,,,11,8,11,,
16,6,,5,,,,,,53,33.4,,,,,16,,,,,,7,26,,,,,,4,7,6,53,,,,,,10,7,10,,
13,2,,11,,,,,,53,21.1,,,,,3,,,,,,5,38,,,,,,28,5,2,53,,,,,,7,5,7,,
7.8,9,,9,,,,,,57,80.8,,,,,8,,,,,,12,36,,,,,,7,12,9,57,,,,,,4,18,4,,
8.2,6,,3,,,,,,52,23.8,,,,,2.9,,,,,,9,6,,,,,,1,9,6,52,,,,,,28,8,28,,
13,10,,9,,,,,,57,20.9,,,,,4.5,,,,,,23,22,,,,,,3,23,10,57,,,,,,7,2,7,,
11.6,5,,7,,,,,,51,29.7,,,,,15,,,,,,11,5,,,,,,2,11,5,51,,,,,,8,10,8,,
9.9,12,,5,,,,,,13,31.2,,,,,9,,,,,,10,3,,,,,,29,10,12,13,,,,,,1,5,1,,
7.4,22,,6,,,,,,56,36.1,,,,,5.5,,,,,,7,7,,,,,,10,7,22,56,,,,,,3,26,3,,
5.1,5,,18,,,,,,52,43.2,,,,,2.25,,,,,,4,3,,,,,,3,4,5,52,,,,,,2,38,2,,
9,40,,7,,,,,,56,11.2,,,,,9,,,,,,28,2,,,,,,12,28,40,56,,,,,,29,6,29,,
11,46,,5,,,,,,52,,,,,,3,,,,,,7,,,,,,,9,7,46,52,,,,,,10,5,10,,
,15,,6,,,,,,12,,,,,,2.33,,,,,,8,,,,,,,8,8,15,12,,,,,,3,3,3,,
,34,,8,,,,,,56,,,,,,12,,,,,,1,,,,,,,8,1,34,56,,,,,,12,7,12,,
,4,,13,,,,,,52,,,,,,2.75,,,,,,3,,,,,,,34,3,4,52,,,,,,9,2,9,,
,1,,4,,,,,,51,,,,,,4.25,,,,,,2,,,,,,,4,2,1,51,,,,,,8,,8,,
,2,,2,,,,,,55,,,,,,3,,,,,,29,,,,,,,4,29,2,55,,,,,,8,,8,,
,6,,3,,,,,,51,,,,,,6,,,,,,10,,,,,,,4,10,6,51,,,,,,34,,34,,
,5,,5,,,,,,51,,,,,,16,,,,,,3,,,,,,,8,3,5,51,,,,,,4,,4,,
,31,,11,,,,,,51,,,,,,8,,,,,,12,,,,,,,2,12,31,51,,,,,,4,,4,,
,12,,12,,,,,,51,,,,,,7,,,,,,9,,,,,,,5,9,12,51,,,,,,4,,4,,
,2,,8,,,,,,50,,,,,,2,,,,,,8,,,,,,,5,8,2,50,,,,,,8,,8,,
,3,,5,,,,,,50,,,,,,7,,,,,,8,,,,,,,6,8,3,50,,,,,,2,,2,,
,7,,10,,,,,,54,,,,,,16,,,,,,34,,,,,,,12,34,7,54,,,,,,5,,5,,
,8,,7,,,,,,30,,,,,,38,,,,,,4,,,,,,,20,4,8,30,,,,,,5,,5,,
,2,,16,,,,,,57,,,,,,3,,,,,,4,,,,,,,12,4,2,57,,,,,,6,,6,,
,8,,8,,,,,,54,,,,,,2,,,,,,4,,,,,,,7,4,8,54,,,,,,7,,7,,
,12,,8,,,,,,54,,,,,,42,,,,,,8,,,,,,,12,8,12,54,,,,,,20,,20,,
,16,,10,,,,,,54,,,,,,42,,,,,,2,,,,,,,18,2,16,54,,,,,,7,,7,,
,7,,8,,,,,,55,,,,,,9,,,,,,5,,,,,,,5,5,7,55,,,,,,12,,12,,
,3,,7,,,,,,50,,,,,,,,,,,,5,,,,,,,2,5,3,50,,,,,,18,,18,,
,11,,3,,,,,,50,,,,,,,,,,,,6,,,,,,,20,6,11,50,,,,,,5,,5,,
,8,,7,,,,,,49,,,,,,,,,,,,12,,,,,,,3,12,8,49,,,,,,2,,2,,
,1,,8,,,,,,29,,,,,,,,,,,,7,,,,,,,6,7,1,29,,,,,,3,,3,,
,2,,5,,,,,,54,,,,,,,,,,,,20,,,,,,,3,20,2,54,,,,,,6,,6,,
,14,,17,,,,,,49,,,,,,,,,,,,12,,,,,,,10,12,14,49,,,,,,3,,3,,
,8,,4,,,,,,53,,,,,,,,,,,,7,,,,,,,12,7,8,53,,,,,,10,,10,,
,1,,5,,,,,,54,,,,,,,,,,,,12,,,,,,,6,12,1,54,,,,,,12,,12,,
,4,,6,,,,,,27,,,,,,,,,,,,18,,,,,,,6,18,4,27,,,,,,6,,6,,
,2,,14,,,,,,53,,,,,,,,,,,,5,,,,,,,8,5,2,53,,,,,,6,,6,,
,2,,9,,,,,,53,,,,,,,,,,,,2,,,,,,,10,2,2,53,,,,,,8,,8,,
,2,,7,,,,,,53,,,,,,,,,,,,20,,,,,,,10,20,7,53,,,,,,19,,19,,
,25,,6,,,,,,26,,,,,,,,,,,,3,,,,,,,7,3,11,26,,,,,,10,,10,,
,2.42,,6,,,,,,30,,,,,,,,,,,,6,,,,,,,12,6,8,30,,,,,,10,,10,,
,13.25,,8,,,,,,3,,,,,,,,,,,,3,,,,,,,2,3,4,3,,,,,,7,,7,,
,7,,4,,,,,,55,,,,,,,,,,,,10,,,,,,,5,10,10,55,,,,,,12,,12,,
,11,,12,,,,,,10,,,,,,,,,,,,12,,,,,,,5,12,13,10,,,,,,5,,5,,
,8,,6,,,,,,52,,,,,,,,,,,,6,,,,,,,11,6,7,52,,,,,,5,,5,,
,4,,15,,,,,,52,,,,,,,,,,,,6,,,,,,,21,6,12,52,,,,,,11,,11,,
,10,,18,,,,,,44,,,,,,,,,,,,8,,,,,,,12,8,10,44,,,,,,21,,21,,
,13,,6,,,,,,12,,,,,,,,,,,,19,,,,,,,13,19,9,12,,,,,,9,,9,,
,7,,5,,,,,,52,,,,,,,,,,,,10,,,,,,,8,10,10,52,,,,,,12,,12,,
,12,,13,,,,,,47,,,,,,,,,,,,10,,,,,,,1,10,3.58,47,,,,,,13,,13,,
,10,,20,,,,,,47,,,,,,,,,,,,7,,,,,,,3,7,4,47,,,,,,8,,8,,
,9,,5,,,,,,54,,,,,,,,,,,,12,,,,,,,11,12,16,54,,,,,,3,,3,,
,10,,4,,,,,,25,,,,,,,,,,,,2,,,,,,,7,2,3,25,,,,,,7,,7,,
,6,,6,,,,,,47,,,,,,,,,,,,5,,,,,,,5,5,8,47,,,,,,6,,6,,
,2,,8,,,,,,47,,,,,,,,,,,,5,,,,,,,6,5,2.9,47,,,,,,6,,6,,
,0.97,,13,,,,,,46,,,,,,,,,,,,11,,,,,,,6,11,4.5,46,,,,,,10,,10,,
,2,,4,,,,,,32,,,,,,,,,,,,21,,,,,,,7,21,15,32,,,,,,4,,4,,
,14,,12,,,,,,46,,,,,,,,,,,,9,,,,,,,10,9,9,46,,,,,,10,,10,,
,6,,9,,,,,,46,,,,,,,,,,,,12,,,,,,,4,12,15,46,,,,,,4,,4,,
,6,,7,,,,,,50,,,,,,,,,,,,13,,,,,,,10,13,11,50,,,,,,34,,34,,
,2.92,,7,,,,,,15,,,,,,,,,,,,4,,,,,,,4,4,4,15,,,,,,7,,7,,
,2.17,,37,,,,,,36,,,,,,,,,,,,8,,,,,,,34,8,5.5,36,,,,,,4,,4,,
,5,,9,,,,,,10,,,,,,,,,,,,1,,,,,,,7,1,2.25,10,,,,,,7,,7,,
,4,,31,,,,,,45,,,,,,,,,,,,3,,,,,,,4,3,9,45,,,,,,11,,11,,
,1,,13,,,,,,46,,,,,,,,,,,,11,,,,,,,7,11,3,46,,,,,,8,,8,,
,3.58,,10,,,,,,11,,,,,,,,,,,,7,,,,,,,11,7,8,11,,,,,,9,,9,,
,4.42,,13,,,,,,20,,,,,,,,,,,,5,,,,,,,8,5,2.33,20,,,,,,8,,8,,
,4,,12,,,,,,52,,,,,,,,,,,,6,,,,,,,9,6,12,52,,,,,,7,,7,,
,16,,10,,,,,,45,,,,,,,,,,,,6,,,,,,,8,6,2.75,45,,,,,,6,,6,,
,3,,8,,,,,,12,,,,,,,,,,,,7,,,,,,,7,7,4.25,12,,,,,,8,,8,,
,8,,7,,,,,,1,,,,,,,,,,,,10,,,,,,,6,10,3,1,,,,,,3,,3,,
,13,,4,,,,,,44,,,,,,,,,,,,4,,,,,,,8,4,6,44,,,,,,11,,11,,
,30,,13,,,,,,50,,,,,,,,,,,,10,,,,,,,13,10,16,50,,,,,,3,,3,,
,2.9,,22,,,,,,72,,,,,,,,,,,,4,,,,,,,3,4,8,72,,,,,,5,,5,,
,1.5,,9,,,,,,49,,,,,,,,,,,,34,,,,,,,11,34,7,49,,,,,,8,,8,,
,4.5,,6,,,,,,50,,,,,,,,,,,,7,,,,,,,3,7,5,50,,,,,,6,,6,,
